team,games,wins,win_pct,covers,cover_pct,win_rating,spread_rating,value_score
Sacramento St Hornets,10,0,0.0,4,0.4,0.042256386598846486,0.1634130180408241,0.12115663144197761
Lipscomb Bisons,10,5,0.5,6,0.6,0.2093820091568897,0.16286313702586405,-0.04651887213102565
Cal Baptist Lancers,16,10,0.625,7,0.4375,0.2764247129522805,0.1628302530914884,-0.11359445986079209
American Eagles,9,4,0.4444444444444444,5,0.5555555555555556,0.12571379362287496,0.16240839927304107,0.03669460565016611
Western Michigan Broncos,10,4,0.4,6,0.6,0.1249743066234545,0.1621457813171415,0.03717147469368699
New Orleans Privateers,15,5,0.3333333333333333,6,0.4,0.115360116713725,0.1614488426092162,0.04608872589549119
Pepperdine Waves,15,3,0.2,7,0.4666666666666667,0.08629568672105149,0.1542189363582194,0.0679232496371679
Austin Peay Governors,9,4,0.4444444444444444,4,0.4444444444444444,0.1510075714169351,0.15295307741042005,0.0019455059934849472
Siena Saints,13,8,0.6153846153846154,8,0.6153846153846154,0.2577939753536833,0.1517229183213617,-0.10607105703232161
Georgia St Panthers,13,3,0.23076923076923078,6,0.46153846153846156,0.060129357806261545,0.15162322794062863,0.09149387013436708
Alabama St Hornets,13,3,0.23076923076923078,6,0.46153846153846156,0.06177614581625234,0.1510230155233483,0.08924686970709594
Navy Midshipmen,10,6,0.6,6,0.6,0.21094286548739255,0.14913006097786388,-0.06181280450952867
NC State Wolfpack,14,9,0.6428571428571429,7,0.5,0.49423525177150035,0.14827875074532457,-0.3459565010261758
Queens University Royals,13,5,0.38461538461538464,5,0.38461538461538464,0.12363676903067203,0.1451305935018366,0.021493824471164574
Northern Arizona Lumberjacks,12,3,0.25,7,0.5833333333333334,0.06986347506858184,0.1448261048585846,0.07496262979000276
Yale Bulldogs,12,10,0.8333333333333334,6,0.5,0.45321422134153994,0.14161714477348872,-0.31159707656805125
Baylor Bears,12,9,0.75,6,0.5,0.4469176058768195,0.14091784590412193,-0.30599975997269757
Washington St Cougars,16,7,0.4375,7,0.4375,0.20051869360824445,0.1401583624577321,-0.06036033115051234
Charleston Cougars,14,8,0.5714285714285714,8,0.5714285714285714,0.2233867330023363,0.14000224660403887,-0.08338448639829743
Florida St Seminoles,15,7,0.4666666666666667,7,0.4666666666666667,0.2309151022835969,0.1397542721740542,-0.0911608301095427
Alabama A&M Bulldogs,11,4,0.36363636363636365,6,0.5454545454545454,0.10410172417158958,0.1394265556794561,0.03532483150786653
Indiana Hoosiers,14,11,0.7857142857142857,7,0.5,0.5985490525722543,0.13917384631215182,-0.45937520626010253
South Dakota St Jackrabbits,14,5,0.35714285714285715,7,0.5,0.15172085393433687,0.13832100349014045,-0.01339985044419642
Bethune-Cookman Wildcats,12,3,0.25,5,0.4166666666666667,0.08127820213373547,0.13831876121351822,0.05704055907978274
Oklahoma St Cowboys,13,11,0.8461538461538461,6,0.46153846153846156,0.49336041388487517,0.1378134903386493,-0.35554692354622586
George Mason Patriots,13,12,0.9230769230769231,7,0.5384615384615384,0.5639391623376687,0.1375567554925985,-0.4263824068450702
UC Riverside Highlanders,12,3,0.25,6,0.5,0.08366932273335356,0.1369169254220671,0.053247602688713536
Brown Bears,10,3,0.3,5,0.5,0.11127230305026217,0.13623170281880007,0.024959399768537893
Colorado Buffaloes,13,10,0.7692307692307693,6,0.46153846153846156,0.495908369128625,0.13512360590818198,-0.36078476322044306
Oklahoma Sooners,13,10,0.7692307692307693,5,0.38461538461538464,0.4394340130911204,0.1343709986520889,-0.3050630144390315
UMKC Kangaroos,13,1,0.07692307692307693,5,0.38461538461538464,0.029433914586063942,0.13421078913726384,0.1047768745511999
Syracuse Orange,12,8,0.6666666666666666,5,0.4166666666666667,0.37877017157705334,0.13324511981091886,-0.24552505176613448
Appalachian St Mountaineers,13,6,0.46153846153846156,8,0.6153846153846154,0.12363855464585258,0.13323054251527286,0.009591987869420282
Temple Owls,14,9,0.6428571428571429,6,0.42857142857142855,0.2683320809378795,0.1320434471712593,-0.13628863376662023
UMBC Retrievers,8,4,0.4444444444444444,3,0.375,0.13325308259812502,0.13149345208458796,-0.0017596305135370582
Lamar Cardinals,11,4,0.36363636363636365,5,0.45454545454545453,0.11334923173833161,0.1304680054266017,0.017118773688270084
Pittsburgh Panthers,15,7,0.4666666666666667,7,0.4666666666666667,0.27656660383499393,0.12982267913739312,-0.1467439246976008
VCU Rams,12,9,0.75,6,0.5,0.5098835427970315,0.12975557677897384,-0.38012796601805765
Hampton Pirates,14,6,0.42857142857142855,8,0.5714285714285714,0.12893244787536015,0.12877505677203918,-0.00015739110332096962
Wofford Terriers,12,7,0.5833333333333334,6,0.5,0.1511979870019475,0.12826505210316555,-0.022932934898781954
Evansville Purple Aces,14,2,0.14285714285714285,6,0.42857142857142855,0.07332538694599221,0.12673985603591403,0.053414469089921826
Milwaukee Panthers,15,6,0.4,6,0.4,0.1304830753854641,0.1266440463373465,-0.003839029048117615
South Carolina Gamecocks,14,9,0.6428571428571429,6,0.42857142857142855,0.3937702548272614,0.1264494201091186,-0.26732083471814283
Illinois Fighting Illini,13,10,0.7692307692307693,7,0.5384615384615384,0.6056106841964963,0.1258808601304346,-0.47972982406606174
UConn Huskies,15,14,0.9333333333333333,6,0.4,0.7830220184902518,0.1255464645398765,-0.6574755539503753
Norfolk St Spartans,12,3,0.25,5,0.4166666666666667,0.05940015887014187,0.12549637779576822,0.06609621892562635
Toledo Rockets,12,6,0.5,4,0.3333333333333333,0.24920469241255697,0.12491678503754405,-0.12428790737501291
San Francisco Dons,15,10,0.6666666666666666,8,0.5333333333333333,0.38132813596076365,0.12405638375839642,-0.2572717522023672
St. Bonaventure Bonnies,12,9,0.75,5,0.4166666666666667,0.41641924231969063,0.12248823805928333,-0.2939310042604073
Radford Highlanders,11,5,0.45454545454545453,5,0.45454545454545453,0.135669631636461,0.12171695281489635,-0.01395267882156466
Monmouth Hawks,11,4,0.36363636363636365,6,0.5454545454545454,0.14069921041741668,0.12163908583328797,-0.0190601245841287
